polymorphisms,YRI_vs_world,LWK_vs_world,GWD_vs_world,MSL_vs_world,ESN_vs_world,ASW_vs_world,ACB_vs_world
CYP2D6*2,"1.60 (1.41, 1.79)","1.86 (1.67, 2.05)","1.51 (1.33, 1.70)","1.75 (1.54, 1.95)","1.61 (1.42, 1.82)","1.17 (0.95, 1.43)","1.40 (1.18, 1.60)"
CYP2D6*3,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","3.08 (0.00, 9.40)","0.93 (0.00, 3.30)"
CYP2D6*4,"0.59 (0.28, 0.93)","0.26 (0.05, 0.49)","0.42 (0.17, 0.70)","0.43 (0.15, 0.76)","0.81 (0.45, 1.25)","1.33 (0.74, 2.02)","0.95 (0.55, 1.42)"
CYP2D6*6,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","1.74 (0.00, 6.38)","0.00 (0.00, 0.00)"
CYP2D6*9,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","1.14 (0.00, 4.10)","0.00 (0.00, 0.00)"
CYP2D6*10,"0.44 (0.28, 0.62)","0.15 (0.06, 0.25)","0.48 (0.31, 0.66)","0.67 (0.43, 0.89)","0.38 (0.22, 0.56)","0.66 (0.41, 0.94)","0.57 (0.37, 0.79)"
CYP2D6*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*17,"5.08 (3.82, 6.44)","3.59 (2.61, 4.78)","3.03 (2.15, 4.05)","5.39 (3.95, 6.93)","5.20 (3.97, 6.63)","2.60 (1.56, 3.81)","3.93 (2.80, 5.18)"
CYP2D6*41,"0.14 (0.00, 0.36)","0.47 (0.15, 0.89)","0.07 (0.00, 0.22)","0.09 (0.00, 0.29)","0.23 (0.00, 0.51)","0.25 (0.00, 0.65)","0.73 (0.33, 1.18)"
CYP2C19*2,"0.75 (0.53, 0.99)","0.96 (0.72, 1.22)","0.59 (0.40, 0.78)","0.79 (0.54, 1.04)","0.93 (0.71, 1.19)","0.62 (0.37, 0.93)","0.67 (0.45, 0.92)"
CYP2C19*3,"0.00 (0.00, 0.00)","0.70 (0.00, 1.84)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.36 (0.00, 1.18)"
CYP2C19*4,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C19*17,"1.65 (1.26, 2.04)","1.16 (0.83, 1.53)","1.60 (1.24, 1.98)","1.73 (1.29, 2.22)","1.66 (1.27, 2.07)","1.29 (0.84, 1.82)","1.82 (1.38, 2.26)"
CYP2C9*2,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.09 (0.00, 0.29)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.85 (0.28, 1.72)","0.53 (0.12, 1.00)"
CYP2C9*3,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.33 (0.00, 0.86)","0.10 (0.00, 0.35)"
CYP2C9*5,"7.83 (2.15, 18.51)","2.31 (0.00, 6.58)","2.02 (0.00, 6.07)","1.29 (0.00, 5.06)","6.75 (1.61, 15.56)","6.01 (0.00, 16.41)","3.76 (0.00, 9.21)"
CYP2C9*6,"12.68 (2.01, 43.34)","0.00 (0.00, 0.00)","4.70 (0.00, 16.63)","0.00 (0.00, 0.00)","13.88 (2.74, 46.41)","0.00 (0.00, 0.00)","2.51 (0.00, 9.56)"
CYP2C9*8,"3.87 (1.71, 6.76)","5.67 (3.02, 9.77)","1.21 (0.27, 2.61)","2.51 (0.81, 5.06)","6.18 (3.23, 10.27)","2.29 (0.55, 5.22)","6.92 (3.74, 11.31)"
CYP2C9*11,"9.76 (4.39, 18.87)","2.21 (0.00, 5.37)","6.05 (2.00, 12.04)","3.56 (0.78, 7.91)","1.43 (0.00, 4.02)","1.14 (0.00, 4.10)","2.28 (0.00, 5.32)"
CYP2C9*13,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*16,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*29,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*31,"0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*33,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*45,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP3A4*22,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.34 (0.00, 1.12)"
rs3812718-T,"0.64 (0.51, 0.77)","0.72 (0.59, 0.87)","0.73 (0.61, 0.85)","0.73 (0.59, 0.89)","0.65 (0.52, 0.78)","0.69 (0.52, 0.87)","0.61 (0.48, 0.74)"
HLA-B*15:02(i),"0.82 (0.26, 1.45)","2.92 (1.76, 4.29)","0.00 (0.00, 0.00)","0.59 (0.14, 1.21)","1.44 (0.68, 2.33)","1.48 (0.59, 2.71)","1.49 (0.72, 2.45)"
HLA-B*15:02(ii_CHB),"3.33 (0.95, 6.65)","2.31 (0.51, 5.00)","2.02 (0.41, 4.44)","3.47 (0.75, 7.39)","1.10 (0.00, 2.93)","0.89 (0.00, 3.05)","5.28 (2.08, 9.72)"
HLA-B*40:01(ii_CEU),"0.13 (0.00, 0.46)","0.00 (0.00, 0.00)","0.12 (0.00, 0.42)","0.17 (0.00, 0.56)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.91 (0.29, 1.68)"
HLA-B*40:01(ii_CHB),"0.77 (0.48, 1.05)","0.80 (0.52, 1.14)","1.61 (1.24, 1.97)","0.86 (0.54, 1.21)","0.56 (0.33, 0.84)","1.10 (0.69, 1.56)","1.23 (0.86, 1.63)"
HLA-B*40:01(ii_JPT),"0.50 (0.23, 0.79)","0.68 (0.38, 1.04)","1.98 (1.50, 2.51)","0.85 (0.46, 1.27)","0.31 (0.12, 0.53)","0.44 (0.15, 0.84)","0.47 (0.21, 0.74)"
HLA-B*40:01(iii_CHS),"0.50 (0.24, 0.75)","0.83 (0.51, 1.20)","0.54 (0.30, 0.83)","0.69 (0.37, 1.04)","0.67 (0.39, 0.99)","1.16 (0.69, 1.70)","0.81 (0.47, 1.17)"
HLA-A*40:01(iii_MAS/INS),"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.42 (0.00, 1.09)","0.40 (0.00, 0.85)"
HLA-A*31:01(ii_CEU),"0.98 (0.58, 1.42)","0.41 (0.15, 0.69)","1.84 (1.31, 2.44)","1.33 (0.77, 1.93)","0.70 (0.36, 1.11)","0.86 (0.40, 1.44)","1.30 (0.76, 1.87)"
HLA-A*31:01(ii_CHB),"1.85 (0.92, 2.85)","0.51 (0.12, 1.04)","2.15 (1.25, 3.32)","1.70 (0.81, 2.80)","1.31 (0.62, 2.14)","0.63 (0.00, 1.46)","1.36 (0.61, 2.13)"
HLA-A*31:01(ii_JPT),"1.30 (0.72, 1.90)","0.56 (0.21, 0.98)","2.63 (1.83, 3.50)","1.87 (1.09, 2.74)","0.90 (0.43, 1.46)","0.53 (0.12, 1.17)","1.65 (0.96, 2.42)"
HLA-A*31:01(iii_CHS),"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","1.35 (0.00, 3.11)","0.28 (0.00, 0.91)"
HLA-A*31:01(iii_INS),"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.39 (0.00, 1.40)","2.67 (0.65, 6.06)","0.81 (0.00, 1.98)"
HLA-B*15:11(ii_CHB),"1.26 (0.90, 1.62)","0.83 (0.56, 1.17)","1.14 (0.83, 1.47)","1.21 (0.85, 1.60)","0.80 (0.52, 1.11)","1.00 (0.61, 1.44)","0.90 (0.59, 1.23)"
