PharmGKB ID	Variant	Literature	Genes	Association	Significance	P-Value	# of Cases	# of Controls	Biogeographical Groups	Phenotype Categories	Pediatric	More Details	Molecules
981476225	rs4148740	PMID:18215618	ABCB1	Allele G is associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to allele A.	yes	= 0.0029	260		European	Efficacy	false	Association was significant after correction for multiple testing at 4 weeks, but not so at 5 or 6 weeks.  It's not completely clear which allele was associated with remission or which sets of alleles/genotypes were compared.  I am entering the minor allele (in European populations) as the associated one.	amitriptyline; citalopram; paroxetine; venlafaxine
1446901561	CYP2C19*1; CYP2C19*2; CYP2C19*3	PMID:12012142	CYP2C19	CYP2C19 *2/*2 + *2/*3 are not associated with clearance of amitriptyline in healthy individuals as compared to CYP2C19 *1/*1 + *1/*2.	no	> 0.05	12		East Asian	Metabolism/PK	false	12 healthy men was given a single dose of amitriptyline and pharmacokinetic parameters were determined. The subjects were divided into PM (two no function alleles) and carriers of one or no no function allele. No difference was found for the oral clearance, half-life time, maximum plasma concentration and time to peak plasma concentration were found between the two groups.	amitriptyline
1183617161	CYP2C19*1; CYP2C19*2; CYP2C19*3	PMID:12172336	CYP2C19	CYP2C19 *2/*3 is associated with increased mean amitriptyline concentrations corrected for dose and weight when treated with amitriptyline in people with Mental Disorders as compared to CYP2C19 *1/*1.	yes	= 0.025	50		East Asian	Metabolism/PK	false		amitriptyline
1448276439	rs2032583	PMID:26704739	ABCB1	Genotype GG is not associated with response to amitriptyline, citalopram, escitalopram, nortriptyline, paroxetine, Selective serotonin reuptake inhibitors, sertraline, trimipramine or venlafaxine in people with Bipolar Disorder as compared to genotypes AA + AG.	no	= 0.442	73		Unknown	Efficacy	false	Efficacy was measured as change in Hamilton Rating Scale for Depression (HAM-D-17). Patients were randomized to a high-dose arm and a normal-dose arm. Assessment made after 0, 7, 14, 21, and 28 days of treatment.	amitriptyline; citalopram; escitalopram; nortriptyline; paroxetine; Selective serotonin reuptake inhibitors; sertraline; trimipramine; venlafaxine
1183617418	CYP2D6*1; CYP2D6*4	PMCID:PMC2291379	CYP2D6	CYP2D6 *4/*4 is associated with increased risk of Side Effects when treated with amitriptyline, clomipramine, doxepin, imipramine, maprotiline, nortriptyline or Opipramol in people with Depression as compared to CYP2D6 *1/*1.	yes	= 0.01	807		European	Toxicity	false	(*4*4 vs. *1*1; this SNP was the only SNP assayed and this method could not detect *5.)  Tricyclic antidepressants were grouped together for this analysis (45.9 % of patients were taking Amitriptyline; 8.2% Maprotiline;6.6% Clomipramine; 2.9% Nortriptyline;2.4% Imipramine;0.7% Dosulepin;0.3% Doxepin;0.2% Opipramol.  Counted as having ADRs if switched to a different antidepressant within the first 45 days.  Heterozygous patients did not have an increased risk of switching.  Genotypes were not in Hardy-Weinberg equilibrium; frequency below is for a larger population that included patients treated with other antidepressants.	amitriptyline; clomipramine; doxepin; imipramine; maprotiline; nortriptyline; opipramol
1451155705	CYP2D6 poor metabolizer phenotype	PMID:16129989	CYP2D6	CYP2D6 poor metabolizer phenotype is not associated with likelihood of adverse events due to amitriptyline or tramadol in people with Phantom limb syndrome as compared to CYP2D6 normal metabolizer phenotype.	no		63		Unknown	Toxicity	false	Patients were phenotyped using dextromethorphan.	amitriptyline; tramadol
1450664831	CYP2C19*1; CYP2C19*2	PMID:15205367	CYP2C19	CYP2C19 *1/*2 is associated with increased concentrations of amitriptyline in people with Mental Disorders as compared to CYP2C19 *1/*1.	yes	= 0.033	48		European	Metabolism/PK	false	Association foe increased plasma concentration.	amitriptyline
1446903476	CYP2D6*4	PMCID:PMC2291274	CYP2D6	CYP2D6 *4/*4 (assigned as poor metabolizers phenotype) is not associated with dose of amitriptyline as compared to CYP2D6 normal metabolizers.	no		23		European	Dosage	false	The study reports on CYP2D6PM (5) compared to EM (18, only phenotypically characterized) but diplotype was only reported for PM. 5 PMs (genotype as *4/*4) were included in the study.	amitriptyline
827808349	rs4244285	PMID:16044105	CYP2C19	Genotype AA is associated with increased log metabolic ratio of amitriptyline/nortriptyline when treated with amitriptyline as compared to genotype GG.	yes	= 0.004	69		Unknown	Metabolism/PK,Other	false	CYP2C19*2*2 had highest log(AT/NT), *1*2 had intermediate and *1*1 lowest.	amitriptyline
981476235	rs10280101	PMID:18215618	ABCB1	Allele C is associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to allele A.	yes	= 0.0053	257		European	Efficacy	false	Association was significant after correction for multiple testing at 4 weeks, but not so at 5 or 6 weeks.  It's not completely clear which allele was associated with remission or which sets of alleles/genotypes were compared.  I am entering the minor allele (in European populations) as the associated one.	amitriptyline; citalopram; paroxetine; venlafaxine
1446903345	CYP2D6*1; CYP2D6*2; CYP2D6*4; CYP2D6*5; CYP2D6*9; CYP2D6*10	PMID:16024198	CYP2D6	CYP2D6 *4/*5 + *4/*4 are associated with decreased metabolism of amitriptyline as compared to CYP2D6 *9 + *10 + *1 + *2.	yes	= 0.002	195		European	Metabolism/PK	false	Postmortem toxicology cases. *3-*6 were grouped as non-functional. *1,*1XN,*2,*2XN,*9,*10 were grouped as functional. The association was found for MR AT/OH-AT and NT/OH-NT for carrier of no functional alleles. No diplotypes reported, *3, *4, *5, and *6 found in study. Metabolic ratio decreases from 0 to 1 to 2 functional alleles. No levels for amitriptyline and nortriptyline reported. Cases were drug poisoning intentional or accidental. No association was found between CYP2D6 PM status and accidental amitriptyline poisoning.	amitriptyline
827777223	rs2032582	PMID:16638956	ABCB1	Genotypes AA + AT are not associated with increased risk of side effects when treated with amitriptyline in people with Depression as compared to genotype CC.	no	= 0.026	50		European	Toxicity	false	When analyzing by specific side effects an association was seen for anticholinergic or gastrointestinal symptoms but this did not survive multiple testing adjustment.	amitriptyline
1183617183	CYP2C19*1; CYP2C19*2; CYP2C19*3	PMID:12172336	CYP2C19	CYP2C19 *1/*3 + *2/*3 are associated with increased amitriptyline/nortriptyline ratio corrected for dose and weight when treated with amitriptyline in people with Mental Disorders as compared to CYP2C19 *1/*1.	yes	= 0.001	50		East Asian	Metabolism/PK	false	AT/NT ration is inversely related to desmethylation capacity.	amitriptyline
981476245	rs7787082	PMID:18215618	ABCB1	Allele A is associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to allele G.	yes	= 0.0046	257		European	Efficacy	false	Association was significant after correction for multiple testing at 4 weeks, but not so at 5 or 6 weeks.  It's not completely clear which allele was associated with remission or which sets of alleles/genotypes were compared.  I am entering the minor allele (in European populations) as the associated one.	amitriptyline; citalopram; paroxetine; venlafaxine
1446903849	CYP2D6*1; CYP2D6*4	PMCID:PMC2291379	CYP2D6	CYP2D6 *4/*4 is not associated with discontinuation of amitriptyline, clomipramine, doxepin, imipramine, maprotiline, nortriptyline and opipramol in people with Depression as compared to CYP2D6 *1/*1.	no	= 0.15	807		European	Toxicity	false	(*4*4 vs. *1*1; this SNP was the only SNP assayed and this method could not detect *5.) Tricyclic antidepressants were grouped together for this analysis (45.9 % of patients were taking Amitriptyline; 8.2% Maprotiline;6.6% Clomipramine; 2.9% Nortriptyline;2.4% Imipramine;0.7% Dosulepin;0.3% Doxepin;0.2% Opipramol.  No differences in discontinuation of antidepressants below 45 days was found.	amitriptyline; clomipramine; doxepin; imipramine; maprotiline; nortriptyline; opipramol
1451155689	CYP2D6 poor metabolizer phenotype	PMID:16129989	CYP2D6	CYP2D6 poor metabolizer phenotype is not associated with dose of amitriptyline or tramadol in people with Phantom limb syndrome as compared to CYP2D6 normal metabolizer phenotype.	no		63		Unknown	Dosage	false	Patients were phenotyped using dextromethorphan.	amitriptyline; tramadol
1183615381	CYP2D6*1; CYP2D6*4	PMCID:PMC2291274	CYP2D6	CYP2D6 *4/*4 is associated with increased nortriptyline/(E)-10-OH-NT ratio when treated with amitriptyline as compared to CYP2D6 *1.	yes	= 0.0005	21		European	Metabolism/PK	false	The study reports on CYP2D6PM (4) compared to EM (17) but diplotype was only reported for PM. The comparison for the metabolite ratio is done in PM (carrying two non-functional alleles) versus subjects carrying one or two functional alleles (genotype not specified).	amitriptyline
1183617173	CYP2C19*1; CYP2C19*2	PMID:12172336	CYP2C19	CYP2C19 *1/*2 + *2/*2 are associated with increased amitriptyline/nortriptyline ratio corrected for dose and weight when treated with amitriptyline in people with Mental Disorders as compared to CYP2C19 *1/*1.	yes	= 0.000004	50		East Asian	Metabolism/PK	false	AT/NT ration is inversely related to desmethylation capacity.	amitriptyline
655386253	rs2235015	PMID:18215618	ABCB1	Allele A is associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to allele C.	yes	= 0.025	339		European	Efficacy	false	Association was significant after correction for multiple testing at 6 weeks, but not so at 4 weeks.  It's not completely clear which allele was associated with remission or which sets of alleles/genotypes were compared.  I am entering the minor allele (in European populations) as the associated one.	amitriptyline; citalopram; paroxetine; venlafaxine
1183617426	CYP2D6*1; CYP2D6*4	PMCID:PMC2291379	CYP2D6	CYP2D6 *4/*4 is associated with decreased dose of amitriptyline, clomipramine, doxepin, imipramine, maprotiline, nortriptyline or Opipramol in people with Depression as compared to CYP2D6 *1/*1.	yes	= 0.03	807		European	Dosage,Efficacy	false	(*4*4 vs. *1*1; this SNP was the only SNP assayed and this method could not detect *5.) Tricyclic antidepressants were grouped together for this analysis (45.9 % of patients were taking Amitriptyline; 8.2% Maprotiline;6.6% Clomipramine; 2.9% Nortriptyline;2.4% Imipramine;0.7% Dosulepin;0.3% Doxepin;0.2% Opipramol.  Mean TCA dose was significantly lower at the 3rd and 4th prescription (difference 0.11 DDD). Genotypes were not in Hardy-Weinberg equilibrium; frequency below is for a larger population that included patients treated with other antidepressants.	amitriptyline; clomipramine; doxepin; imipramine; maprotiline; nortriptyline; opipramol
1451155681	CYP2D6 poor metabolizer phenotype	PMID:16129989	CYP2D6	CYP2D6 poor metabolizer phenotype is associated with decreased response to amitriptyline in people with Phantom limb syndrome as compared to CYP2D6 normal metabolizer phenotype.	yes	< 0.01	30		Unknown	Efficacy	false	Patients treated with amitriptyline had significantly greater pain intensity scores in the first week of treatment. However, this difference was not found at any other timepoint. Patients were phenotyped using dextromethorphan.	amitriptyline
1183615533	CYP2D6*4	PMCID:PMC3550197	CYP2D6	CYP2D6 *4/*4 is associated with toxicity when exposed to amitriptyline.	not stated		1		European	Toxicity	false	Intentionally overdosed on amitriptyline. Subject (found comatose) displayed prolonged rising of serum total amitriptyline concentrations for at least 6 days after admission.	amitriptyline
1183617453	CYP2C19*1; CYP2C19*2	PMID:15590749	CYP2C19	CYP2C19 *1/*1 is associated with increased risk of Drug Toxicity when treated with amitriptyline in people with Depressive Disorder, Major as compared to CYP2C19 *1/*2 + *2/*2.	yes	= 0.00004	49		European	Toxicity	false	NOTE: Association only in patients carrying at least one non-functional CYP2D6 allele (*4,*5). Side effects were found to be associated with increased nortriptyline concentration. Study group patients carrying at least one non-functional allele (n=19) vs. patients carrying two functional alleles (n=30) with only *2 carriers were identified in study population. Side effects were measured with DOTES scale (analyses after 21 days of treatment, co-medication was allowed, AT dose was 150mg/day for most patients).	amitriptyline
1446903324	CYP2D6*4	PMCID:PMC3550197	CYP2D6	CYP2D6 *4/*4 is associated with increased concentrations of amitriptyline.	not stated		1		European	Metabolism/PK	false	Intentionally overdosed on amitriptyline. Subject (found comatose) displayed prolonged rising of serum total amitriptyline and nortriptyline concentrations for at least 6 days after admission.	amitriptyline
1183617193	CYP2D6*1; CYP2D6*2; CYP2D6*5; CYP2D6*10	PMID:12172336	CYP2D6	CYP2D6 *2/*5 + *1/*10 is not associated with differences in the ratio of nortriptyline and its metabolite when treated with amitriptyline in people with Mental Disorders as compared to CYP2D6 *1/*1 + *1/*2.	no	= 0.14	50		East Asian	Metabolism/PK	false	Study compared carry of two functional alleles (1/1; 1/2; 2/2) with carriers with only one functional allele (2/5; 1/10; 2/10).	amitriptyline
1183623082	CYP2D6*4	PMID:16024198	CYP2D6	CYP2D6 *4/*4 is associated with decreased clearance of amitriptyline in one suicide case.	not stated		1		European	Metabolism/PK,Toxicity	false	The highest femoral blood amitriptyline concentration in this study of postmortem toxicology cases was found in a CYP2D6 *4/*4 suicide case.	amitriptyline
1448612606	CYP2D6 normal metabolizer and ultrarapid metabolizer genotypes	PMID:28350251	CYP2D6	CYP2D6 normal metabolizer and ultra-metabolizer genotypes is associated with decreased likelihood of Constipation, dry mouth, Fatigue, Urinary Retention and Vision Disorders when treated with amitriptyline in people with Diabetic Neuropathies as compared to CYP2D6 poor metabolizer and intermediate metabolizer genotypes.	not stated		31		Multiple groups, South Africa : 9 white, 21 black, 1 indian individuals	Toxicity	false	Authors considered this a pilot study and that 180 patients would be needed to properly evaluate significance.	amitriptyline
1183615397	CYP2D6*1; CYP2D6*4	PMCID:PMC2291274	CYP2D6	CYP2D6 *4/*4 is associated with increased amitriptyline/(E)-10- OH-AT ratio when treated with amitriptyline as compared to CYP2D6 *1.	yes	= 0.036	19		European	Metabolism/PK	false	The study reports on CYP2D6PM (3) compared to EM (16) but diplotype was only reported for PM. The comparison for the metabolite ratio is done in PM (carrying two non-functional alleles) versus subjects carrying one or two functional alleles (genotype not specified).	amitriptyline
981476266	rs4148739	PMID:18215618	ABCB1	Allele C is associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to allele T.	yes	= 0.0029	261		European	Efficacy	false	Association was significant after correction for multiple testing at 4 weeks, but not so at 5 or 6 weeks.  It's not completely clear which allele was associated with remission or which sets of alleles/genotypes were compared.  I am entering the minor allele (in European populations) as the associated one.	amitriptyline; citalopram; paroxetine; venlafaxine
1446903828	CYP2D6 poor metabolizers	PMID:22733128	CYP2D6	CYP2D6 poor metabolizers are not associated with discontinuation of amitriptyline or fluoxetine in people with Depressive Disorder, Major.	no		100		Unknown	Toxicity	false	Patients received either 20 mg/day fluoxetine or 75 mg/day amitriptyline. 4 UMs (more than two functional CYP2D6 alleles) discontinued treatment within the first 4 weeks, whereas no PM (no functional CYP2D6 allele) did so within 12 weeks. There were differences across CYP2D6 groups in the rate of ADP discontinuation at week 4 (P<0.01). The CYP2D6 activity value assigned to the reference allele *1 and *2 was 1, to *3, *4, *4xN, *5 and *6 was 0, to *10 or *17 was 0.5 and to multiplications of active alleles (*1xN or *2xN) was 2. Alleles or diplotypes found in study population or if patients received any co-medication were not reported.	amitriptyline; fluoxetine
655385916	rs2032583	PMID:18215618	ABCB1	Genotypes AG + GG are associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to genotype AA.	yes	= 0.0062	359		European	Efficacy	false	Association was significant after correction for multiple testing at 4 weeks but not at 5 or at 6 weeks.	amitriptyline; citalopram; paroxetine; venlafaxine
1183617442	CYP2D6*1; CYP2D6*1xN; CYP2D6*2; CYP2D6*4; CYP2D6*5; CYP2D6*10; CYP2D6*41	PMID:15590749	CYP2D6	CYP2D6 *1/*4 + *2/*4 + *2/*5 + *4/*41 + *4/*10 are associated with increased risk of Drug Toxicity when treated with amitriptyline in people with Depressive Disorder, Major as compared to CYP2D6 *1/*1 + *1/*2 + *2/*1xN + *2/*2 + *1/*41 + *1/*10 + *2/*41.	yes	= 0.00001	49		European	Toxicity	false	Study group patients carrying one non-functional allele  vs. patients carrying two functional alleles. No CYP2D6 PMs were identified. Side effects were measured with DOTES scale ( analyses after 21 days of treatment, co-medication was allowed, AT dose was 150mg/day for most patients). This group of patients had the highest risk of side effects regardless of 2C19*2 status.	amitriptyline
981476274	rs11983225	PMID:18215618	ABCB1	Allele C is associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to allele T.	yes	= 0.0034	257		European	Efficacy	false	Association was significant after correction for multiple testing at 4 weeks, but not so at 5 or 6 weeks.  It's not completely clear which allele was associated with remission or which sets of alleles/genotypes were compared.  I am entering the minor allele (in European populations) as the associated one.	amitriptyline; citalopram; paroxetine; venlafaxine
1446901519	CYP2C19*1; CYP2C19*2; CYP2C19*3	PMID:12012142	CYP2C19	CYP2C19 *2/*2 + *2/*3 are associated with increased concentrations of amitriptyline in healthy individuals as compared to CYP2C19 *1/*1 + *1/*2.	yes	< 0.05	12		East Asian	Metabolism/PK	false	12 healthy men was given a single dose of amitriptyline and pharmacokinetic parameters were determined. The subjects were divided into PM (two no function alleles) and carriers of one or no no function allele. mean area under the plasma concentration time curve for PM (2207ng/ml/h) was significantly higher than for non-PM (1596ng/ml/h).	amitriptyline
