PharmGKB ID	Level	Variant	Gene	Molecules	Phenotype Categories	Phenotype	Pediatric
1444608027	3	rs7124442	BDNF	citalopram	Efficacy	Depressive Disorder, Major	false
1450931583	3	rs6311	HTR2A	citalopram	Toxicity	Depressive Disorder, Major; Nausea; Vomiting	false
1444705174	3	rs760761	DTNBP1	citalopram	Efficacy	Depressive Disorder, Major	false
1183629315	3	rs2235067	ABCB1	amitriptyline; citalopram; paroxetine; venlafaxine	Efficacy	Depressive Disorder, Major	false
1444705166	3	rs809736	RORA	citalopram	Efficacy	Depressive Disorder, Major	false
982031517	3	rs352428		citalopram; escitalopram	Efficacy	Depressive Disorder, Major	false
1043858606	3	rs6265	BDNF	antidepressants; citalopram; paroxetine	Efficacy	Depressive Disorder	false
1451418260	3	CYP2D6*1; CYP2D6*1xN; CYP2D6*2xN	CYP2D6	citalopram	Efficacy		false
1043859119	3	rs9380524	FKBP5	citalopram; escitalopram	Efficacy	Depressive Disorder, Major	false
1451282840	1A	CYP2C19*1; CYP2C19*2; CYP2C19*3; CYP2C19*4	CYP2C19	citalopram	Toxicity	Depressive Disorder	false
1183620242	4	CYP2D6*1; CYP2D6*3; CYP2D6*4; CYP2D6*5; CYP2D6*10; CYP2D6*17; CYP2D6*41	CYP2D6	citalopram	Toxicity	Depressive Disorder, Major	false
1444705214	4	rs25531	SLC6A4	citalopram	Toxicity		false
1183590959	3	rs495794	SRP19	citalopram; fluoxetine; paroxetine; sertraline	Efficacy	Depressive Disorder, Major	false
769171582	3	rs334558	GSK3B	citalopram; fluoxetine	Efficacy	Depressive Disorder, Major	false
1183631787	3	rs915120	GRK5	citalopram; escitalopram	Efficacy	Depressive Disorder	false
1444705206	3	rs2270007	CRHR2	citalopram	Efficacy	Depressive Disorder, Major	false
1451418281	3	CYP2D6*1; CYP2D6*4	CYP2D6	citalopram	Dosage		false
1183620386	1A	CYP2C19*1; CYP2C19*2; CYP2C19*3; CYP2C19*17	CYP2C19	citalopram	Metabolism/PK	Depressive Disorder; Depressive Disorder, Major	false
655384510	3	rs7569963	CREB1; METTL21A	antidepressants; citalopram	Efficacy,Toxicity	Depression	false
1444608040	4	rs7103411	BDNF	citalopram	Efficacy	Depressive Disorder, Major	false
1444705198	3	rs10975641	GLDC	citalopram; escitalopram	Efficacy	Depressive Disorder, Major	false
619523422	3	rs2235015	ABCB1	amitriptyline; antidepressants; citalopram; paroxetine; venlafaxine	Efficacy	Depression; Depressive Disorder; Depressive Disorder, Major	false
982031026	3	rs7787082	ABCB1	amitriptyline; citalopram; paroxetine; venlafaxine	Efficacy	Depressive Disorder	false
619523414	3	rs2032583	ABCB1	amitriptyline; antidepressants; citalopram; fluvoxamine; paroxetine; sertraline; venlafaxine	Efficacy	Depression; Depressive Disorder; Depressive Disorder, Major	false
1444705191	3	rs10848635	CACNA1C	citalopram	Toxicity	Depressive Disorder, Major	false
1183631792	3	rs11144870	RFK	citalopram; escitalopram	Efficacy	Depressive Disorder	false
1444700760	4	rs12054895		citalopram; escitalopram	Efficacy	Depressive Disorder, Major	false
1444705243	3	rs6966038		citalopram	Efficacy	Depressive Disorder, Major	false
1444705236	3	rs6313	HTR2A	citalopram	Toxicity	Depressive Disorder	false
1444704081	3	rs4570625	TPH2	citalopram	Efficacy	Depressive Disorder	true
1183619292	3	rs10248420	ABCB1	amitriptyline; citalopram; paroxetine; venlafaxine	Efficacy	Depression	false
1444705229	3	rs6127921		citalopram	Efficacy	Depressive Disorder, Major	false
1447990940	3	rs696692	ERICH3	citalopram; escitalopram	Efficacy	Depressive Disorder	false
1183614687	3	rs16965962		citalopram	Toxicity	Depressive Disorder, Major	false
1184989940	3	SLC6A4 HTTLPR long form (L allele); SLC6A4 HTTLPR short form (S allele)	SLC6A4	citalopram	Efficacy	Depressive Disorder, Major	true
