polymorphisms,CHB_vs_world,JPT_vs_world,CHS_vs_world,CDX_vs_world,KHV_vs_world
CYP2D6*2,"0.45 (0.31, 0.60)","0.38 (0.26, 0.52)","0.36 (0.24, 0.50)","0.35 (0.23, 0.50)","0.36 (0.23, 0.49)"
CYP2D6*3,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*4,"0.05 (0.00, 0.16)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.05 (0.00, 0.17)"
CYP2D6*6,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*9,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*10,"2.69 (2.37, 3.03)","1.57 (1.30, 1.86)","2.76 (2.41, 3.10)","2.80 (2.45, 3.17)","2.96 (2.64, 3.28)"
CYP2D6*14,"2.59 (0.00, 12.15)","2.56 (0.00, 11.30)","0.00 (0.00, 0.00)","11.11 (0.00, 42.19)","24.29 (5.29, 96.29)"
CYP2D6*17,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*41,"0.53 (0.18, 0.95)","0.07 (0.00, 0.24)","0.74 (0.33, 1.26)","1.29 (0.71, 2.04)","0.39 (0.08, 0.74)"
CYP2C19*2,"1.55 (1.25, 1.86)","1.49 (1.20, 1.79)","1.64 (1.33, 1.97)","1.20 (0.92, 1.52)","1.29 (1.01, 1.60)"
CYP2C19*3,"3.38 (1.29, 6.19)","6.18 (3.39, 10.07)","3.75 (1.58, 7.02)","6.37 (3.31, 10.75)","3.08 (1.19, 5.43)"
CYP2C19*4,"7.77 (0.00, 46.69)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C19*17,"0.15 (0.03, 0.29)","0.03 (0.00, 0.10)","0.06 (0.00, 0.15)","0.10 (0.00, 0.23)","0.13 (0.03, 0.25)"
CYP2C9*2,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.10 (0.00, 0.33)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*3,"0.79 (0.31, 1.39)","0.39 (0.09, 0.81)","0.98 (0.44, 1.66)","0.54 (0.11, 1.05)","0.72 (0.27, 1.25)"
CYP2C9*5,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*6,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*8,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*11,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*13,"0.00 (0.00, 0.00)","11.54 (0.00, 52.52)","0.00 (0.00, 0.00)","12.96 (0.00, 61.59)","12.15 (0.00, 66.08)"
CYP2C9*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","1.30 (0.00, 5.25)","0.00 (0.00, 0.00)"
CYP2C9*16,"NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*29,"7.77 (0.00, 46.69)","0.00 (0.00, 0.00)","7.62 (0.00, 45.97)","0.00 (0.00, 0.00)","8.10 (0.00, 50.25)"
CYP2C9*31,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*33,"NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*45,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP3A4*22,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
rs3812718-T,"0.97 (0.83, 1.11)","1.04 (0.91, 1.18)","1.27 (1.12, 1.41)","1.39 (1.25, 1.54)","1.45 (1.31, 1.58)"
HLA-B*15:02(i),"0.74 (0.24, 1.35)","0.00 (0.00, 0.00)","1.36 (0.63, 2.24)","2.95 (1.72, 4.40)","6.23 (4.46, 8.40)"
HLA-B*15:02(ii_CHB),"1.06 (0.00, 2.89)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.58 (0.00, 2.07)","1.69 (0.00, 3.84)"
HLA-B*40:01(ii_CEU),"1.30 (0.53, 2.21)","1.28 (0.55, 2.14)","2.04 (1.05, 3.18)","5.29 (3.45, 7.54)","1.51 (0.70, 2.48)"
HLA-B*40:01(ii_CHB),"0.32 (0.14, 0.52)","0.03 (0.00, 0.10)","0.06 (0.00, 0.16)","0.07 (0.00, 0.18)","0.23 (0.09, 0.39)"
HLA-B*40:01(ii_JPT),"1.07 (0.70, 1.49)","0.43 (0.19, 0.70)","2.44 (1.86, 3.08)","0.68 (0.36, 1.07)","0.78 (0.45, 1.16)"
HLA-B*40:01(iii_CHS),"1.39 (1.00, 1.85)","1.06 (0.72, 1.48)","2.42 (1.87, 2.98)","0.80 (0.49, 1.17)","1.58 (1.17, 2.05)"
