polymorphisms,EUR_vs_world,AFR_vs_world,AMR_vs_world,EAS_vs_world,SAS_vs_world
CYP2D6*2,"0.94 (0.85, 1.03)","1.91 (1.78, 2.06)","0.90 (0.80, 1.00)","0.34 (0.29, 0.39)","1.01 (0.92, 1.11)"
CYP2D6*3,"8.40 (3.85, 22.86)","0.33 (0.00, 0.89)","1.04 (0.20, 2.49)","0.00 (0.00, 0.00)","0.32 (0.00, 0.90)"
CYP2D6*4,"2.67 (2.27, 3.16)","0.58 (0.45, 0.73)","1.49 (1.19, 1.84)","0.02 (0.00, 0.05)","1.23 (0.98, 1.51)"
CYP2D6*6,"19.89 (8.27, 81.17)","0.12 (0.00, 0.43)","0.57 (0.00, 1.68)","0.00 (0.00, 0.00)","0.18 (0.00, 0.70)"
CYP2D6*9,"10.34 (5.31, 24.45)","0.08 (0.00, 0.28)","2.07 (0.78, 4.36)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*10,"0.82 (0.72, 0.94)","0.39 (0.33, 0.46)","0.60 (0.49, 0.71)","3.68 (3.37, 4.04)","0.65 (0.55, 0.75)"
CYP2D6*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)"
CYP2D6*17,"0.03 (0.00, 0.07)","100.03 (56.87, 263.65)","0.13 (0.04, 0.24)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*41,"1.68 (1.32, 2.07)","0.23 (0.14, 0.34)","0.95 (0.68, 1.29)","0.54 (0.38, 0.73)","2.48 (1.94, 3.08)"
CYP2C19*2,"0.60 (0.51, 0.70)","0.71 (0.62, 0.81)","0.43 (0.34, 0.53)","1.58 (1.40, 1.77)","1.90 (1.71, 2.10)"
CYP2C19*3,"0.00 (0.00, 0.00)","0.12 (0.00, 0.30)","0.00 (0.00, 0.00)","14.81 (9.12, 31.11)","0.84 (0.38, 1.46)"
CYP2C19*4,"1.33 (0.00, 8.05)","0.00 (0.00, 0.00)","6.22 (0.00, 25.05)","1.32 (0.00, 8.19)","0.00 (0.00, 0.00)"
CYP2C19*17,"1.65 (1.43, 1.89)","1.90 (1.65, 2.15)","0.75 (0.60, 0.92)","0.08 (0.04, 0.12)","0.86 (0.71, 1.01)"
CYP2C9*2,"4.32 (3.41, 5.49)","0.13 (0.06, 0.23)","2.51 (1.93, 3.20)","0.02 (0.00, 0.06)","0.68 (0.45, 0.94)"
CYP2C9*3,"1.71 (1.28, 2.18)","0.03 (0.00, 0.08)","0.74 (0.49, 1.06)","0.65 (0.43, 0.90)","3.24 (2.50, 4.17)"
CYP2C9*5,"0.00 (0.00, 0.00)","61.34 (14.32, 84.82)","0.28 (0.00, 1.10)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
