polymorphisms,GIH_vs_world,PJL_vs_world,BEB_vs_world,STU_vs_world,ITU_vs_world
CYP2D6*2,"1.24 (1.05, 1.45)","0.88 (0.69, 1.05)","0.69 (0.52, 0.87)","1.05 (0.87, 1.25)","1.13 (0.93, 1.31)"
CYP2D6*3,"0.86 (0.00, 3.27)","0.00 (0.00, 0.00)","1.04 (0.00, 3.73)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*4,"1.38 (0.90, 1.91)","0.83 (0.47, 1.25)","1.33 (0.81, 1.87)","1.17 (0.70, 1.67)","1.22 (0.74, 1.75)"
CYP2D6*6,"0.00 (0.00, 0.00)","1.09 (0.00, 4.03)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*9,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*10,"0.63 (0.44, 0.86)","0.43 (0.25, 0.62)","1.07 (0.79, 1.34)","0.64 (0.43, 0.87)","0.72 (0.50, 0.96)"
CYP2D6*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*17,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*41,"2.44 (1.65, 3.36)","1.78 (1.02, 2.59)","1.49 (0.82, 2.22)","1.93 (1.17, 2.75)","2.28 (1.48, 3.18)"
CYP2C19*2,"1.52 (1.22, 1.83)","1.59 (1.26, 1.89)","1.50 (1.16, 1.83)","1.93 (1.60, 2.25)","1.73 (1.41, 2.06)"
CYP2C19*3,"0.33 (0.00, 1.14)","1.11 (0.00, 2.49)","1.68 (0.34, 3.46)","1.04 (0.00, 2.28)","0.34 (0.00, 1.20)"
CYP2C19*4,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C19*17,"0.88 (0.59, 1.22)","0.95 (0.63, 1.31)","0.71 (0.43, 1.05)","0.93 (0.61, 1.28)","0.93 (0.61, 1.28)"
CYP2C9*2,"1.01 (0.45, 1.69)","1.09 (0.49, 1.72)","0.36 (0.00, 0.75)","0.60 (0.19, 1.15)","0.50 (0.11, 0.99)"
CYP2C9*3,"2.91 (1.92, 4.06)","2.13 (1.25, 3.14)","2.52 (1.52, 3.66)","2.11 (1.21, 3.14)","2.23 (1.31, 3.28)"
CYP2C9*5,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*6,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*8,"0.00 (0.00, 0.00)","0.34 (0.00, 1.14)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*11,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.67 (0.00, 2.42)"
CYP2C9*13,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*14,"5.48 (1.04, 14.06)","2.64 (0.00, 7.32)","8.79 (1.88, 21.98)","7.36 (1.67, 16.87)","5.54 (1.12, 13.05)"
CYP2C9*16,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*29,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*31,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*33,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*45,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP3A4*22,"0.32 (0.00, 1.09)","0.69 (0.00, 1.70)","0.00 (0.00, 0.00)","0.65 (0.00, 1.70)","0.32 (0.00, 1.14)"
rs3812718-T,"1.19 (1.04, 1.32)","1.19 (1.04, 1.33)","1.22 (1.06, 1.37)","1.20 (1.06, 1.34)","1.13 (0.98, 1.27)"
HLA-B*15:02(i),"0.74 (0.24, 1.35)","1.35 (0.60, 2.12)","5.08 (3.31, 7.07)","0.62 (0.14, 1.21)","0.62 (0.14, 1.21)"
HLA-B*15:02(ii_CHB),"0.00 (0.00, 0.00)","0.56 (0.00, 1.81)","0.62 (0.00, 2.08)","0.52 (0.00, 1.90)","1.64 (0.00, 3.73)"
HLA-B*40:01(ii_CEU),"0.28 (0.00, 0.71)","0.76 (0.16, 1.49)","0.67 (0.14, 1.33)","0.42 (0.00, 0.92)","1.01 (0.35, 1.85)"
HLA-B*40:01(ii_CHB),"0.97 (0.66, 1.32)","1.38 (0.98, 1.79)","1.01 (0.66, 1.38)","0.88 (0.56, 1.22)","0.55 (0.30, 0.81)"
HLA-B*40:01(ii_JPT),"1.21 (0.80, 1.69)","1.40 (0.93, 1.94)","0.31 (0.09, 0.55)","0.57 (0.29, 0.90)","0.71 (0.39, 1.05)"
HLA-B*40:01(iii_CHS),"0.56 (0.31, 0.85)","0.32 (0.13, 0.54)","0.54 (0.26, 0.84)","1.08 (0.70, 1.50)","0.84 (0.51, 1.20)"
