polymorphisms,CHB_vs_east_asia,JPT_vs_east_asia,CHS_vs_east_asia,CDX_vs_east_asia,KHV_vs_east_asia
CYP2D6*2,"1.24 (0.83, 1.79)","1.00 (0.65, 1.39)","0.94 (0.59, 1.34)","0.91 (0.58, 1.32)","0.92 (0.61, 1.34)"
CYP2D6*3,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2D6*4,"3.89 (0.00, 11.56)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","4.09 (0.00, 13.29)"
CYP2D6*6,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2D6*9,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2D6*10,"1.07 (0.93, 1.21)","0.59 (0.48, 0.70)","1.10 (0.96, 1.23)","1.12 (0.98, 1.27)","1.19 (1.06, 1.34)"
CYP2D6*14,"0.43 (0.00, 1.87)","0.43 (0.00, 1.98)","0.00 (0.00, 0.00)","1.89 (0.00, 6.53)","4.09 (0.85, 20.75)"
CYP2D6*17,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
CYP2D6*41,"0.88 (0.27, 1.76)","0.10 (0.00, 0.37)","1.36 (0.57, 2.57)","2.88 (1.40, 5.49)","0.62 (0.13, 1.34)"
CYP2C19*2,"1.09 (0.88, 1.34)","1.04 (0.83, 1.28)","1.17 (0.93, 1.43)","0.81 (0.62, 1.03)","0.88 (0.69, 1.11)"
CYP2C19*3,"0.75 (0.28, 1.38)","1.41 (0.73, 2.35)","0.83 (0.37, 1.49)","1.47 (0.75, 2.57)","0.68 (0.26, 1.28)"
CYP2C19*4,"NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C19*17,"1.95 (0.40, 5.62)","0.27 (0.00, 1.08)","0.58 (0.00, 1.86)","1.10 (0.00, 3.10)","1.49 (0.27, 4.39)"
