polymorphisms,CEU_vs_world,TSI_vs_world,FIN_vs_world,GBR_vs_world,IBS_vs_world
CYP2D6*2,"0.90 (0.72, 1.09)","1.04 (0.87, 1.23)","0.90 (0.72, 1.09)","0.85 (0.68, 1.05)","1.06 (0.88, 1.24)"
CYP2D6*3,"4.05 (0.87, 9.51)","0.00 (0.00, 0.00)","8.10 (2.78, 16.50)","7.23 (2.27, 16.20)","1.72 (0.00, 5.21)"
CYP2D6*4,"2.60 (1.93, 3.34)","2.10 (1.50, 2.77)","1.49 (0.99, 2.07)","2.63 (1.95, 3.38)","1.60 (1.08, 2.22)"
CYP2D6*6,"4.86 (1.10, 11.80)","4.48 (0.85, 10.99)","14.58 (6.04, 31.19)","2.41 (0.00, 7.36)","0.97 (0.00, 3.95)"
CYP2D6*9,"3.04 (0.66, 6.89)","5.41 (1.62, 11.66)","2.21 (0.00, 5.37)","6.40 (2.14, 12.90)","3.61 (0.76, 8.26)"
CYP2D6*10,"1.01 (0.78, 1.26)","0.87 (0.63, 1.10)","0.61 (0.41, 0.83)","1.05 (0.80, 1.34)","0.73 (0.51, 0.96)"
CYP2D6*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*17,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.15 (0.00, 0.42)"
CYP2D6*41,"1.99 (1.27, 2.86)","2.43 (1.64, 3.39)","0.55 (0.20, 0.95)","1.13 (0.60, 1.74)","1.43 (0.87, 2.12)"
CYP2C19*2,"0.58 (0.39, 0.81)","0.41 (0.25, 0.61)","0.98 (0.74, 1.25)","0.64 (0.43, 0.89)","0.64 (0.44, 0.88)"
CYP2C19*3,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C19*4,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","7.47 (0.00, 47.59)"
CYP2C19*17,"1.48 (1.11, 1.88)","1.50 (1.10, 1.90)","1.44 (1.09, 1.85)","1.61 (1.20, 2.07)","1.43 (1.05, 1.82)"
CYP2C9*2,"3.47 (2.32, 4.73)","3.57 (2.47, 4.94)","1.74 (0.97, 2.63)","1.89 (1.05, 2.97)","3.20 (2.15, 4.52)"
CYP2C9*3,"1.37 (0.71, 2.17)","1.79 (1.04, 2.71)","1.15 (0.53, 1.84)","1.50 (0.79, 2.29)","1.79 (1.04, 2.71)"
CYP2C9*5,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*6,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*8,"0.33 (0.00, 1.20)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.31 (0.00, 1.15)"
CYP2C9*11,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","1.43 (0.00, 4.02)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*13,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*16,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*29,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","8.10 (0.00, 50.25)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*31,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*33,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C9*45,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","NA (NA, NA)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP3A4*22,"3.31 (1.48, 5.89)","2.67 (1.00, 5.12)","3.31 (1.48, 5.89)","7.19 (3.89, 11.63)","2.67 (1.00, 5.12)"
rs3812718-T,"1.08 (0.94, 1.22)","1.08 (0.94, 1.22)","1.16 (1.02, 1.30)","1.25 (1.10, 1.40)","0.95 (0.81, 1.08)"
HLA-B*15:02(i),"0.00 (0.00, 0.00)","0.11 (0.00, 0.42)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
HLA-B*15:02(ii_CHB),"0.54 (0.00, 1.95)","0.50 (0.00, 1.88)","0.54 (0.00, 1.95)","0.00 (0.00, 0.00)","0.50 (0.00, 1.88)"
HLA-B*40:01(ii_CEU),"2.68 (1.52, 4.08)","0.13 (0.00, 0.49)","2.51 (1.40, 3.85)","2.55 (1.35, 3.86)","0.67 (0.14, 1.36)"
HLA-B*40:01(ii_CHB),"2.46 (2.00, 3.02)","1.30 (0.94, 1.67)","1.12 (0.79, 1.49)","2.06 (1.62, 2.57)","2.53 (2.04, 3.02)"
HLA-B*40:01(ii_JPT),"1.91 (1.41, 2.48)","1.29 (0.88, 1.79)","1.86 (1.37, 2.44)","1.81 (1.29, 2.41)","1.39 (0.95, 1.89)"
HLA-B*40:01(iii_CHS),"1.93 (1.49, 2.45)","0.84 (0.52, 1.20)","1.67 (1.25, 2.15)","1.59 (1.14, 2.09)","0.84 (0.52, 1.20)"
HLA-A*40:01(iii_MAS/INS),"1.90 (1.03, 3.02)","0.23 (0.00, 0.62)","2.05 (1.13, 3.13)","2.07 (1.11, 3.25)","0.72 (0.20, 1.43)"
HLA-A*31:01(ii_CEU),"0.23 (0.06, 0.47)","0.54 (0.24, 0.90)","0.41 (0.15, 0.69)","0.19 (0.00, 0.43)","0.48 (0.19, 0.84)"
