PharmGKB ID	Variant	Literature	Genes	Association	Significance	P-Value	# of Cases	# of Controls	Biogeographical Groups	Phenotype Categories	Pediatric	More Details	Molecules
1184749213	rs1801253	PMID:18797399	ADRB1	Allele C is not associated with response to citalopram in people with Depressive Disorder, Major as compared to allele G.	no	> 0.05	730		European	Efficacy	false	No significant differences in the number of patients who were classified as nonresponders, responders or remitters were seen between either the genotypes (CC, CG, GG) or the alleles (C, G), in either European American or African American populations. Remitters achieved a Quick Inventory for Depression Scale, Change 16 Item version (QIDS-C16) score of <= 5 at the last treatment visit. Responders achieved at least a 50% reduction in baseline QIDS-C16 score at the last treatment visit. Nonresponders did not achieve even a 40% reduction in baseline QIDS-C16 score.	citalopram
981476225	rs4148740	PMID:18215618	ABCB1	Allele G is associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to allele A.	yes	= 0.0029	260		European	Efficacy	false	Association was significant after correction for multiple testing at 4 weeks, but not so at 5 or 6 weeks.  It's not completely clear which allele was associated with remission or which sets of alleles/genotypes were compared.  I am entering the minor allele (in European populations) as the associated one.	amitriptyline; citalopram; paroxetine; venlafaxine
1183701647	CYP2C19 poor metabolizer	PMID:8835706	CYP2C19	CYP2C19 poor metabolizers is not associated with increased risk of intolerance when treated with citalopram in people with Depressive Disorder, Major as compared to CYP2C19 normal metabolizer.	no		69		Unknown	Toxicity	false	Six patients were poor metabolizers of mephenytoin, with an S/R ratio of mephenytoin > 0.8. Of the six poor metabolizers of mephenytoin, three were responders and three were nonresponders.	citalopram
1446908220	CYP2C19*1; CYP2C19*2	PMID:26343256	CYP2C19	CYP2C19 *2 is associated with decreased metabolism of citalopram in people with Depressive Disorder, Major as compared to CYP2C19 *1/*1.	yes	< 0.05	50		Unknown	Metabolism/PK	false	Mean plasma concentrations and the mean dose-corrected plasma levels of desmethylcitalopram were significantly lower in *2 carriers as compared to *1/*1. Mean metabolic ratio (MR, CIT/DCIT) was significantly higher in the CYP2C19*1/*2 + CYP2C19*2/*2 genotypes. Citalopram concentration and citalopram dose are not different between *2 carriers and *1/*1.	citalopram
1184748190	CYP2C19*1; CYP2C19*2; CYP2C19*3	PMID:25154506	CYP2C19	CYP2C19 *2/*2 + *3/*3 + *2/*3 (assigned as poor metabolizers phenotype) is associated with increased exposure to citalopram or escitalopram as compared to CYP2C19 *1/*1 (assigned as normal metabolizers phenotype) .	yes	< 0.0001	847		Multiple groups, Asian and White	Metabolism/PK	false	Compared to subjects with the EM/EM (CYP2C19*1/*1) genotype, the exposure to (es)citalopram increased by 95 % (95 % CI 40-149, p < 0.0001) in the poor metabolizer (PM)/PM (CYP2C19*2 or *3/*2 or *3). For this meta-analyis of 16 studies (in Asian and White), the studies must meet the following criteria to be included: (1) all subjects received at least one single dose of citalopram or escitalopram orally; (2) either genotyping or phenotyping of CYP2C19 was performed in all subjects; (3) citalopram or escitalopram exposure level [mean and standard deviation (SD)] was presented separately for the EM/EM genotype group and at least one of the following groups: UM/UM, UM/EM, UM/PM, EM/PM, PM/PM; and (4) if polymorphism was only assessed by phenotyping, citalopram or escitalopram exposure was reported separately for the EMpheno and PMpheno groups.	citalopram; escitalopram
982023052	rs6311	PMID:23221997	HTR2A	Allele T is not associated with remission rates when treated with citalopram in people with Depressive Disorder, Major as compared to allele C.	no	= 0.55	159		European	Efficacy	false		citalopram
1183701639	CYP2C19 poor metabolizer	PMID:8835706	CYP2C19	CYP2C19 poor metabolizer is associated with increased plasma ratio citalopram (CIT)/N-desmethylCIT (DCIT) when treated with citalopram in people with Depressive Disorder, Major as compared to CYP2C19 normal metabolizer.	yes	= 0.0001	69		Unknown	Metabolism/PK	false	Phenotyped with mephenytoin. Three patients were poor metabolizers of dextromethorphan, with a metabolic ratio dextrorphan/dextromethorphan > 0.3, and six patients were poor metabolizers of mephenytoin, with an S/R ratio of mephenytoin > 0.8. Of the six poor metabolizers of mephenytoin, three were responders and three were nonresponders.	citalopram
1184169374	CYP2D6*1; CYP2D6*3; CYP2D6*4; CYP2D6*5; CYP2D6*10; CYP2D6*17; CYP2D6*41	PMID:23545896	CYP2D6	CYP2D6 *1/*1 + *1/*10 + *1/*17 + *1/*3 + *1/*4 + *1/*41 + *1/*5 is not associated with side effects when treated with citalopram, clomipramine, duloxetine, escitalopram, fluoxetine, fluvoxamine, mirtazapine, paroxetine, sertraline or venlafaxine in people with Obsessive-Compulsive Disorder as compared to CYP2D6 *10/*10 + *10/*41 + *3/*4 + *3/*41 + *4/*10 + *4/*4.	no	= 0.619	184		Multiple groups, predominantly European ancestry (90.2%)	Toxicity	false	The association is for impact of CYP2D6 (P=0.619) or CYP2C19 (P=0.391) on the occurrence of significant side effects in all trials overall (defined see below). Patients had undergone one or more trials of serotonin reuptake inhibitors (including fluoxetine, sertraline, fluvoxamine, paroxetine, citalopram or escitalopram), venlafaxine, mirtazapine, duloxetine or clomipramine. articipants had multiple trials of medications, individuals were defined as an overall responder (that is, to medications in general) if they reported response to greater than or equal to50% of all drug trials recalled. Correspondingly, patients who reported benefits from <50% of medications tried were deemed overall nonresponders. A similar approach was taken for side effects.	citalopram; clomipramine; duloxetine; escitalopram; fluoxetine; fluvoxamine; mirtazapine; paroxetine; sertraline; venlafaxine
981476235	rs10280101	PMID:18215618	ABCB1	Allele C is associated with increased likelihood of remission when treated with amitriptyline, citalopram, paroxetine or venlafaxine in people with Depression as compared to allele A.	yes	= 0.0053	257		European	Efficacy	false	Association was significant after correction for multiple testing at 4 weeks, but not so at 5 or 6 weeks.  It's not completely clear which allele was associated with remission or which sets of alleles/genotypes were compared.  I am entering the minor allele (in European populations) as the associated one.	amitriptyline; citalopram; paroxetine; venlafaxine
982023044	rs1800532	PMID:23221997	TPH1	Allele T is not associated with remission rates when treated with citalopram in people with Depressive Disorder, Major as compared to allele G.	no	= 0.56	159		European	Efficacy	false		citalopram
