PharmGKB ID	Variant	Literature	Genes	Association	Significance	P-Value	# of Cases	# of Controls	Biogeographical Groups	Phenotype Categories	Pediatric	More Details	Molecules
1183623437	CYP2D6*1; CYP2D6*10	PMID:12784098	CYP2D6	CYP2D6 *10 is not associated with decreased metabolism of haloperidol in people with Schizophrenia as compared to CYP2D6 *1.	no		88		East Asian	Metabolism/PK	false	No association was seen between the CYP2D6*10 allele and plasma concentration of haloperidol. However, at low doses of haloperidol (<10mg/day), plasma concentrations of reduced haloperidol (RHAL) were significantly associated with the *10 allele (P<.005).	haloperidol
1448261461	CYP2D6*6	PMID:27469576	CYP2D6	CYP2D6 *6/*6 is associated with adverse events and extrapyramidal symptoms when treated with ciprofloxacin and haloperidol.	no		1		European	Toxicity	false	In a case study, patient developed extrapyramidal symptoms when treated with ciprofloxacin which was a trigger for the development of adverse drug reaction due to inhibition of CYP3A4, which was main metabolic pathway for haloperidol since he was CYP2D6 poor metabolizer.	ciprofloxacin; haloperidol
1448993622	rs3892097	PMCID:PMC5028170	CYP2D6	Genotype CC is associated with decreased likelihood of adverse events when treated with haloperidol in men with Alcohol-Related Disorders, Alcoholic psychosis NOS and Alcoholism as compared to genotype CT.	yes	< 0.001	38		Unknown	Toxicity	false	Increased CYP2D6 activity was associated with better safety as measured difference in score between day 0 and day 5 on Udvald for Kliniske Undersogelser Side Effect Rating Scale (UKU) and Simpson–Angus Scale for Extrapyramidal Symptoms (SAS).	haloperidol
1183630106	CYP2D6*1; CYP2D6*10	PMID:11595402	CYP2D6	CYP2D6 *10 is associated with decreased metabolism of haloperidol in people with Schizophrenia as compared to CYP2D6 *1.	yes	= 0.05	76		East Asian	Metabolism/PK	false	This study grouped patients into two groups: wildtype (CYP2D6 *1/*1) and variant carriers (carrying one or more of *5 or *10). Patients were also genotyped for the presence of CYP2D6 *3 and *4 alleles, but the patient cohort, as defined in two previous papers (PMID: 9352580 & 10096261), did not show any subjects carrying those alleles. This study also split patients into gender groups. In both male and female patients, those carrying a variant allele showed significantly higher plasma concentrations of both haloperidol and reduced haloperidol as compared to patients with the wildtype genotype. In male patients only, carriers of a variant allele showed significantly higher plasma concentrations of prolactin as compared to those with the wildtype genotype.	haloperidol
981500957	rs25531	PMID:20031235	SLC6A4	Allele C is not associated with response to antipsychotics, haloperidol, olanzapine or risperidone in people with Schizophrenia as compared to allele T.	no		147		European	Efficacy	false	6 week response was assessed.	antipsychotics; haloperidol; olanzapine; risperidone
1183491883	rs1003641	PMID:22893251		Allele A is associated with increased response to haloperidol in people with Schizophrenia as compared to allele G.	no	= 0.026	88		European	Efficacy	false	When in a haplotype with rs2587550 G allele, as compared to rs2587550 A allele (these alleles complemented to the plus chromosomal strand). Response assessed by Positive and Negative Symptoms Scale (PANSS) score after 1 month of treatment. Patients with the G-A haplotype had a greater decrease in PANSS score compared to those with the A-G haplotype. Statistical significance was set at 0.008 using the false discovery method (FDR). Please note alleles have been complemented to the plus chromosomal strand.	haloperidol
1184173879	rs4680	PMID:23963056	COMT	Genotype AG is associated with increased likelihood of extrapyramidal symptoms when treated with haloperidol in men with Schizophrenia as compared to genotypes AA + GG.	yes	= 0.045	240		European	Toxicity	false	Men with the AG heterozygous genotype had an increased risk for developing extrapyramidal symptoms (refer to paper for list of these symptoms), as compared to those with the homozygous genotypes. This was significant in multivariate logistic regression, but not when using the chi-squared test (p = 0.138).	haloperidol
1183623471	CYP2D6*1; CYP2D6*5	PMID:12784098	CYP2D6	CYP2D6 *5 is associated with decreased metabolism of haloperidol in people with Schizophrenia as compared to CYP2D6 *1.	no		88		East Asian	Metabolism/PK	false	Patients with the *5 allele showed higher plasma concentrations of haloperidol and reduced haloperidol (RHAL) as compared to patients without the *5 allele. However, due to small numbers of patients with the *5 allele, statistical analysis was not performed.	haloperidol
1183624234	CYP2D6*1; CYP2D6*10	PMCID:PMC2014539	CYP2D6	CYP2D6 *10 is associated with decreased metabolism of haloperidol in people with Schizophrenia as compared to CYP2D6 *1.	yes	= 0.028	120		East Asian	Metabolism/PK	false	Patients with the *10 allele showed significantly higher plasma concentration:dose ratios of haloperidol as compared to patients with the *1 allele. When stratified for dose, this association was seen only in patients receiving less than 20mg/day (P=.003). In patients receiving 20mg/day or more, the association with CYP2D6 genotype no longer existed (P=.667). No association was seen between CYP2D6 genotype and plasma concentration:dose ratios of reduced haloperidol. CYP2D6*5 alleles were not included in statistical analysis due to low sample size.	haloperidol
1448993275	rs7668258	PMID:27469576	UGT2B7	Genotype CT is associated with adverse events and extrapyramidal symptoms when treated with ciprofloxacin and haloperidol as compared to genotype CC.	no		1		European	Toxicity	false	In a case study, patient developed extrapyramidal symptoms when treated with ciprofloxacin which was a trigger for the development of adverse drug reaction due to inhibition of CYP3A4, which was main metabolic pathway for haloperidol since he was CYP2D6 poor metabolizer. Authors state he may have been poor metabolizer status for UGT2B7 but mostly attribute ADR to CYP2D6*6.	ciprofloxacin; haloperidol
1444696628	rs17143212	PMCID:PMC4315575	ABCB5	Genotype CT is associated with increased Drug Toxicity when treated with haloperidol in people with Psychotic Disorders as compared to genotype CC.	yes	< 0.05	85		Unknown	Toxicity	false	The rs17143212 SNP was significantly associated with haloperidol toxicity index, both before (p=0.002) and after (p=0.034) correction for multiple testing using a permutation test. Toxicity index was the area-under-curve (AUC) of the combined toxicity measures for days 0, 1, 3 and 7, where the toxicities measured were parkinsonoid toxicity, dyskinesia and akathesia. More specifically, patients with the CT genotype had an increased composite toxicity index of all three symptoms (parkinsonoid, dyskinesia and akathesia) at day 1, 3 and 7 of treatment, as compared to those with the CC genotype. Patients were treated with haloperidol monotherapy for 1 month during the acute phase of their psychotic illness.	haloperidol
608178665	rs909706	PMCID:PMC2857717	DTNBP1	Genotype CT is associated with increased response to haloperidol in people with Schizophrenia as compared to genotype CC.	no		54		African American/Afro-Caribbean	Efficacy	false	[Drug: clozapine]	haloperidol
1184173884	rs1800497	PMID:23963056	DRD2	Genotype AG is not associated with likelihood of Drug Toxicity when treated with haloperidol in men with Schizophrenia as compared to genotypes AA + GG.	no	> 0.05	240		European	Toxicity	false	No significant increase in risk for extrapyramidal symptoms (refer to paper for list of these symptoms) was seen for patients with the AG genotype, as compared to the GG (p = 0.499, OR = 1.2 (0.69 - 2.17)) or AA (p = 0.910, OR = 1.1 (0.34 = 3.36)) genotype.	haloperidol
1183623462	CYP2D6*1; CYP2D6*2	PMID:12784098	CYP2D6	CYP2D6 *2 is not associated with decreased metabolism of haloperidol in people with Schizophrenia as compared to CYP2D6 *1.	no		88		East Asian	Metabolism/PK	false	No association was seen between the CYP2D6*2 allele and plasma concentration of haloperidol.	haloperidol
1183491878	rs2587550	PMID:22893251	ANKK1	Allele G is associated with increased response to haloperidol in people with Schizophrenia as compared to allele A.	no	= 0.026	88		European	Efficacy	false	When in a haplotype with rs1003641 A allele, as compared to rs1003641 G allele. Response assessed by Positive and Negative Symptoms Scale (PANSS) score after 1 month of treatment. Patients with the G-A haplotype had a greater decrease in PANSS score compared to those with the A-G haplotype. Statistical significance was set at 0.008 using the false discovery method (FDR). Please note alleles for this SNP have been complemented to the plus chromosomal strand.	haloperidol
827785466	rs2298826	PMID:20859245	SLC6A5	Genotype AA is associated with motor side effects when treated with haloperidol in people with Schizophrenia as compared to genotypes AG + GG.	yes	= 2.0E-4	101		Unknown	Toxicity	false	defined as a rapid rise of motor side effects at the beginning of the treatment.	haloperidol
981477934	rs3813929	PMID:17702092	HTR2C	Allele T is not associated with increased likelihood of Weight gain when treated with clozapine, haloperidol, olanzapine or risperidone in people with Schizophrenia as compared to allele C.	no		139		Unknown	Toxicity	false	This SNP was studied in conjunction with rs6318 and a repeat polymorphism in the 5' flanking region [(GT)12-18/(CT)4-5].  None of the three variants were associated with increased risk of weight gain when studied alone.  When studied as a combination, only one combination, the long-C-Ser (repeat-rs3813929-rs6318), was associated with a protective effect against weight gain.  However, effect and sample sizes were small (n=13). This gene is on the X chromosome therefore males have one copy, the percentages of males in the study size was not reported.	clozapine; haloperidol; olanzapine; risperidone
1184168762	SLC6A4 HTTLPR long form (L allele); SLC6A4 HTTLPR short form (S allele)	PMID:20031235	SLC6A4	SLC6A4 HTTLPR long form (L allele)/HTTLPR short form (S allele) is associated with increased response to antipsychotics, haloperidol, olanzapine or risperidone in people with Schizophrenia as compared to SLC6A4 HTTLPR long form (L allele)/HTTLPR long form (L allele) + HTTLPR short form (S allele)/HTTLPR short form (S allele).	yes	= 0.05	147		European	Efficacy	false	The L/S (Long/Short) genotype was associated with better negative symptom response to antipsychotic treatment, especially olanzapine, than either of the homozygous genotypes were.  This article described the alleles only as L and S- not clear on exact sequence.  Association was significant for the SANS but not the BPRS or SAPS. 6 week response was assessed.	antipsychotics; haloperidol; olanzapine; risperidone
769261685	rs518147	PMID:21121776	HTR2C	Allele G is associated with increased likelihood of Weight gain when treated with clozapine, haloperidol, olanzapine and risperidone in people with Schizophrenia as compared to allele C.	yes	= 0.019	205		Multiple groups	Other	false	A significant association was not found with genotypes groups but when women were analyzed separately there is a borderline p value. This gene is on the X chromosome and males have only one copy, so genotypes are G and C. Of the CC women (n=6) zero were in the weight gain group, 7 of 27 CG women gained weight whereas 14 of 29 GG women gained weight.	clozapine; haloperidol; olanzapine; risperidone
1448993645	rs2242480	PMCID:PMC3471928	CYP3A4	Genotype CT is associated with increased concentrations of haloperidol in people with Psychotic Disorders as compared to genotype CC.	no		96		European	Metabolism/PK	false		haloperidol
981477941	rs6318	PMID:17702092	HTR2C	Allele C is not associated with increased likelihood of Weight gain when treated with clozapine, haloperidol, olanzapine or risperidone in people with Schizophrenia as compared to allele G.	no		139		Unknown	Toxicity	false	This SNP was studied in conjunction with rs3813929 and a repeat polymorphism in the 5' flanking region [(GT)12-18/(CT)4-5].  None of the three variants were associated with increased risk of weight gain when studied alone.  When studied as a combination, only one combination, the long-C-Ser (repeat-rs3813929-rs6318), was associated with a protective effect against weight gain.  However, effect and sample sizes were small (n=13). This gene is on the X chromosome therefore males have one copy, the percentages of males in the study size was not reported.	clozapine; haloperidol; olanzapine; risperidone
1183629749	CYP2D6*1; CYP2D6*10	PMID:10096261	CYP2D6	CYP2D6 *10 is associated with decreased metabolism of haloperidol in people with Schizophrenia as compared to CYP2D6 *1.	yes	= 0.05	67		East Asian	Metabolism/PK	false	Patients with one, but not two, CYP2D6 *10 alleles showed significantly higher plasma haloperidol concentrations as compared to patients with the *1/*1 genotype. Also, patients with one or two CYP2D6 *10 alleles showed significantly higher plasma reduced haloperidol concentrations as compared to patients with the *1/*1 genotype.	haloperidol
1447987701	rs1415744	PMID:27092952	EPM2A	Allele C is associated with increased response to chlorpromazine, clozapine, haloperidol, olanzapine, quetiapine, risperidone or trifluoperazine in people with Schizophrenia as compared to allele T.	yes	= 0.02	573		East Asian	Efficacy	false	Symptom improvement measured by PANSS score (Positive and Negative Symptom Scale) after 20-40 days of treatment. The CC genotype was associated with an improved response compared to CT, which was also associated with an improved response compared to TT. The CG haplotype of rs1415744 and rs702304 was associated with improvement on the negative symptom scale (p=0.02).	chlorpromazine; clozapine; haloperidol; olanzapine; quetiapine; risperidone; trifluoperazine
1449163997	rs776746	PMCID:PMC5749387	CYP3A5	Genotype CT is not associated with risk of adverse events due to haloperidol in men with Alcoholism as compared to genotype CC.	no	= 0.558621	66		Unknown	Toxicity	false	"No patients were found to have the TT genotype.

Please note that alleles have been complemented to the positive strand."	haloperidol
1183629618	CYP2D6*1; CYP2D6*10	PMID:10942177	CYP2D6	CYP2D6 *10 is not associated with decreased metabolism of haloperidol in people with Schizophrenia as compared to CYP2D6 *1.	no	= 0.52	66		East Asian	Metabolism/PK	false	No association was seen between number of CYP2D6 *10 alleles and plasma concentration of haloperidol.	haloperidol
1448993635	rs2242480	PMCID:PMC3471928	CYP3A4	Genotype CT is associated with increased severity of adverse events when treated with haloperidol in people with Psychotic Disorders as compared to genotype CC.	no	= 0.047	96		European	Toxicity	false	this was not significant after Bonferroni correction and was not found in the replication sample.	haloperidol
1446898434	rs12970134	PMCID:PMC4166499		Allele A is not associated with increased risk of Weight gain when exposed to amisulpride, aripiprazole, clozapine, haloperidol, quetiapine, risperidone or ziprasidone in people with schizoaffective disorder and Schizophrenia as compared to allele G.	no	= 3.26E-6	139		Unknown	Other	true		amisulpride; aripiprazole; clozapine; haloperidol; quetiapine; risperidone; ziprasidone
1183918545	CYP2D6*1; CYP2D6*1xN	PMID:22775532	CYP2D6	CYP2D6 *1/*1xN (assigned as ultrarapid metabolizer phenotype phenotype) is not associated with differences in treatment response or scores on the various subscales of the PANSS when treated with haloperidol or risperidone in people with Schizophrenia as compared to CYP2D6 normal metabolizer.	no	> 0.05	35		Unknown	Efficacy	false	CYP2D6 metabolizer status had no significant effect on clinical response (p>0.05).  22EM and 2 UMAmpliChip CYP450 test, which detects up to 33 alleles, including 7 duplications in the CYP2D6 and 3 alleles in the CYP2C19 gene. PM, IM, EM, or UM status for CYP2D6 and PM or EM status for CYP2C19 using phenotyping software available with the AmpliChip CYP450 test.	haloperidol; risperidone
1184469080	rs2412459	PMID:24751813	EIF2AK4	Genotype TT is associated with increased response to haloperidol in people with Schizophrenia as compared to genotype CT.	no	> 0.05	96		European	Efficacy	false	results did not reach significance.	haloperidol
1183630925	CYP2D6*1; CYP2D6*4	PMID:12746736	CYP2D6	CYP2D6 *4/*4 is associated with decreased metabolism of haloperidol in healthy individuals as compared to CYP2D6 *1/*1 + *1/*4.	yes	= 0.04	16		Multiple groups	Metabolism/PK	false	Subjects with the PM phenotype (only those homozygous for the *4 allele in this study) showed significantly higher mean terminal elimination half-lives of haloperidol and significantly lower apparent oral clearance of haloperidol as compared to subjects with the EM phenotype (*1/*1, *1/*4, *1/*10, or *17/*17 genotype in this study). This study also found that QTc prolongation was significantly longer when taking haloperidol as compared to placebo, but no association between QTc prolongation and CYP2D6 genotype was found.	haloperidol
1449154594	rs2470890	PMID:16969362	CYP1A2	Genotypes CT + TT is associated with increased likelihood of tardive dyskinesia when treated with antipsychotics and haloperidol in people with Schizophrenia as compared to genotype CC.	no	= 0.12	25	69	Central/South Asian	Toxicity	false	This was observed for those taking typical antipsychotics (predominantly haloperidol) and not for total group or atypical antipsychotics and was not significant after Bonferroni correction.	antipsychotics; haloperidol
1446898423	rs646749	PMCID:PMC4166499		Allele A is not associated with increased risk of Weight gain when exposed to amisulpride, aripiprazole, clozapine, haloperidol, quetiapine, risperidone or ziprasidone in people with schizoaffective disorder and Schizophrenia as compared to allele G.	no	= 3.09E-7	139		Unknown	Other	true		amisulpride; aripiprazole; clozapine; haloperidol; quetiapine; risperidone; ziprasidone
1448993424	CYP3A4*1; CYP3A4*22	PMID:25868121	CYP3A4	CYP3A4 *22 is not associated with dose-adjusted trough concentrations of antipsychotics, aripiprazole, haloperidol, pimozide or risperidone in people with Psychotic Disorders as compared to CYP3A4 *1.	no	= 0.35	834		European	Metabolism/PK	false		antipsychotics; aripiprazole; haloperidol; pimozide; risperidone
1446898411	rs489693	PMCID:PMC4166499	MC4R	Genotype AA is associated with increased likelihood of Hypertriglyceridemia and Weight gain when exposed to amisulpride, aripiprazole, clozapine, haloperidol, quetiapine, risperidone or ziprasidone in people with schizoaffective disorder and Schizophrenia as compared to genotypes AC + CC.	yes	< 0.01	139		Unknown	Other	true		amisulpride; aripiprazole; clozapine; haloperidol; quetiapine; risperidone; ziprasidone
769261698	rs3813929	PMID:21121776	HTR2C	Allele C is associated with increased risk of Weight gain when treated with amisulpride, clozapine, haloperidol, iloperidone, olanzapine, quetiapine, risperidone and ziprasidone as compared to allele T.	yes	= 0.006			Multiple groups, Mostly European samples	Other	false	In this meta-analysis, statistical significance was gained when looking at mostly European populations. This gene is on the X chromosome, males on have one copy.	amisulpride; clozapine; haloperidol; iloperidone; olanzapine; quetiapine; risperidone; ziprasidone
1449189048	CYP2D6*1; CYP2D6*1xN	PMCID:PMC5810290	CYP2D6	CYP2D6 *1xN is associated with extrapyramidal symptoms, hepatic cytolysis and Weight gain when exposed to haloperidol, levomepromazine and risperidone in children with Schizophrenia as compared to CYP2D6 *1.	not stated		1		Unknown	Other	true		haloperidol; levomepromazine; risperidone
1183915979	CYP2D6*3; CYP2D6*4	PMID:22775532	CYP2D6	CYP2D6 *4/*4 (assigned as poor metabolizer phenotype) is not associated with differences in treatment response or scores on the various subscales of the PANSS when treated with haloperidol or risperidone in people with Schizophrenia as compared to CYP2D6 normal metabolizer.	no	> 0.05	35		Unknown	Efficacy	false	CYP2D6 metabolizer status had no significant effect on clinical response (p>0.05). 22 EM and 3 PM. AmpliChip CYP450 test, which detects up to 33 alleles, including 7 duplications in the CYP2D6 and 3 alleles in the CYP2C19 gene. PM, IM, EM, or UM status for CYP2D6 and PM or EM status for CYP2C19 using phenotyping software available with the AmpliChip CYP450 test.	haloperidol; risperidone
1183630934	CYP2D6*1; CYP2D6*10; CYP2D6*17	PMID:12746736	CYP2D6	CYP2D6 *1/*10 + *17/*17 are not associated with decreased metabolism of haloperidol in healthy individuals as compared to CYP2D6 *1/*1.	no		16		Multiple groups	Metabolism/PK	false	Subjects with the PM phenotype (only those homozygous for the *4 allele in this study) showed significantly higher mean terminal elimination half-lives of haloperidol and significantly lower apparent oral clearance of haloperidol as compared to subjects with the EM phenotype (*1/*1, *1/*4, *1/*10, or *17/*17 genotype in this study). This study also found that QTc prolongation was significantly longer when taking haloperidol as compared to placebo, but no association between QTc prolongation and CYP2D6 genotype was found.	haloperidol
1184469058	rs7912580	PMID:24751813		Genotype GG is associated with increased response to haloperidol in people with Schizophrenia as compared to genotype AG.	no	> 0.05	96		European	Efficacy	false	results did not reach significance.	haloperidol
1183629904	CYP2D6*1; CYP2D6*5; CYP2D6*10	PMID:9352580	CYP2D6	CYP2D6 *5 + *10 are associated with decreased metabolism of haloperidol in people with Schizophrenia as compared to CYP2D6 *1.	yes	= 0.05	50		East Asian	Metabolism/PK	false	This study grouped patients by number of variant CYP2D6 alleles, the possible variants being *5 and *10. Patients with one variant (*1A/*5 or *1A/*10) showed significantly higher steady state plasma haloperidol concentrations as compared to patients with no variant alleles (*1A/*1A). This association was not seen for patients with two variants (*5/*10 or *10/*10). Patients with one or two variants also showed significantly higher steady state plasma concentrations of reduced haloperidol as compared to patients with no variant alleles.	haloperidol
1447682070	CYP2D6 poor metabolizer	PMID:26514968	CYP2D6	CYP2D6 poor metabolizer is not associated with concentrations of haloperidol, paliperidone or zuclopenthixol in people with Bipolar Disorder, schizoaffective disorder or Schizophrenia as compared to CYP2D6 intermediate metabolizer and normal metabolizer.	no	> 0.05	32		Unknown	Metabolism/PK	false	The authors evaluated the pharmacokinetics of multiple antipsychotics, including risperidone, in 82 individuals, 20 of whom were treated with risperidone. The authors grouped patients according to CYP2D6 genotype into 6 categories of metabolizer phenotypes: poor metabolizers (*4/*4, *3/*4, *4/*6, *4/*4), intermediate metabolizers (*4/*41, *10/*10), extensive metabolizer- slow (*1/*3, *1/*4, *1/*5, *2/*3, *2/*4, *2/*5, *4/*35, *1/*10, *1/*41,*2/*41), extensive metabolizer-fast (*1/*1, *1/*2,*1/*35, *2/*2, *35/*35), and ultra rapid metabolizer (*1/*2xN, *1/*35xN, *2/*2xN, *2/*35xN).	haloperidol; paliperidone; zuclopenthixol
1447677736	CYP2D6*1; CYP2D6*2	PMID:12960748	CYP2D6	CYP2D6 *2/*2 is associated with increased concentrations of haloperidol in people with Schizophrenia as compared to CYP2D6 *1/*1 + *1/*2.	yes	= 0.003	184		East Asian	Metabolism/PK	false	Steady-state serum haloperidol levels per daily dosage were significantly higher in CYP2D6*2 homozygotes as compared to the other genotypes. No significant results were seen when considering daily dose of haloperidol (p=0.495), steady-state daily antipsychotic dose (p=0.678) or recent 1-year cumulative antipsychotic dose (p=0.685).	haloperidol
