polymorphisms,GIH_vs_south_asia,PJL_vs_south_asia,BEB_vs_south_asia,STU_vs_south_asia,ITU_vs_south_asia
CYP2D6*2,"1.30 (1.08, 1.56)","0.85 (0.68, 1.07)","0.65 (0.49, 0.85)","1.05 (0.86, 1.29)","1.14 (0.94, 1.39)"
CYP2D6*3,"3.75 (0.24, 59.66)","0.00 (0.00, NaN)","4.69 (0.29, 74.55)","0.00 (0.00, NaN)","0.00 (0.00, NaN)"
CYP2D6*4,"1.20 (0.79, 1.82)","0.67 (0.40, 1.13)","1.14 (0.73, 1.79)","0.98 (0.63, 1.53)","1.04 (0.67, 1.60)"
CYP2D6*6,"0.00 (0.00, NaN)","Inf (NaN, Inf)","0.00 (0.00, NaN)","0.00 (0.00, NaN)","0.00 (0.00, NaN)"
CYP2D6*9,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2D6*10,"0.90 (0.63, 1.29)","0.58 (0.38, 0.91)","1.72 (1.27, 2.34)","0.91 (0.64, 1.31)","1.06 (0.75, 1.49)"
CYP2D6*14,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2D6*17,"-3.75 (NaN, NaN)","-4.09 (NaN, NaN)","-4.69 (NaN, NaN)","-3.79 (NaN, NaN)","-3.79 (NaN, NaN)"
CYP2D6*41,"5.00 (3.60, 6.94)","5.10 (3.68, 7.06)","4.17 (3.02, 5.74)","9.11 (6.33, 13.09)","6.71 (4.77, 9.43)"
CYP2C19*2,"0.01 (0.00, 0.08)","0.04 (0.01, 0.11)","0.05 (0.02, 0.14)","0.03 (0.01, 0.10)","0.01 (0.00, 0.08)"
CYP2C19*3,"0.00 (0.00, NaN)","0.00 (0.00, NaN)","0.00 (0.00, NaN)","0.00 (0.00, NaN)","0.00 (0.00, NaN)"
CYP2C19*4,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2C19*17,"1.00 (0.68, 1.47)","1.09 (0.74, 1.61)","0.78 (0.49, 1.23)","1.06 (0.72, 1.55)","1.06 (0.72, 1.55)"
CYP2C9*2,"1.56 (0.76, 3.21)","1.71 (0.83, 3.51)","0.45 (0.14, 1.47)","0.81 (0.34, 1.94)","0.65 (0.26, 1.67)"
CYP2C9*3,"1.26 (0.84, 1.90)","0.88 (0.55, 1.41)","1.08 (0.68, 1.70)","0.87 (0.55, 1.38)","0.93 (0.59, 1.46)"
CYP2C9*5,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2C9*6,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2C9*8,"0.00 (0.00, NaN)","Inf (NaN, Inf)","0.00 (0.00, NaN)","0.00 (0.00, NaN)","0.00 (0.00, NaN)"
CYP2C9*11,"0.00 (0.00, NaN)","0.00 (0.00, NaN)","0.00 (0.00, NaN)","0.00 (0.00, NaN)","Inf (NaN, Inf)"
CYP2C9*13,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2C9*14,"0.94 (0.32, 2.77)","0.45 (0.11, 1.94)","1.56 (0.58, 4.24)","1.26 (0.47, 3.44)","0.95 (0.32, 2.81)"
CYP2C9*16,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2C9*29,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2C9*31,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2C9*33,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP2C9*45,"NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)","NaN (NaN, NaN)"
CYP3A4*22,"0.75 (0.09, 6.38)","2.05 (0.38, 11.09)","0.00 (0.00, NaN)","1.90 (0.35, 10.28)","0.76 (0.09, 6.46)"
rs3812718-T,"1.00 (0.88, 1.14)","1.01 (0.88, 1.15)","1.04 (0.91, 1.19)","1.02 (0.89, 1.16)","0.94 (0.82, 1.08)"
HLA-B*15:02(i),"0.45 (0.20, 1.03)","0.89 (0.46, 1.73)","5.41 (3.28, 8.90)","0.37 (0.15, 0.92)","0.37 (0.15, 0.92)"
HLA-B*15:02(ii_CHB),"0.00 (0.00, NaN)","0.82 (0.10, 6.97)","0.94 (0.11, 7.97)","0.76 (0.09, 6.46)","3.79 (0.77, 18.66)"
HLA-B*40:01(ii_CEU),"0.39 (0.09, 1.68)","1.28 (0.47, 3.45)","1.10 (0.38, 3.24)","0.63 (0.19, 2.13)","1.90 (0.78, 4.64)"
HLA-B*40:01(ii_CHB),"1.03 (0.71, 1.50)","1.60 (1.14, 2.23)","1.08 (0.73, 1.60)","0.91 (0.62, 1.35)","0.53 (0.33, 0.86)"
HLA-B*40:01(ii_JPT),"1.58 (1.04, 2.41)","1.91 (1.27, 2.89)","0.33 (0.15, 0.74)","0.63 (0.36, 1.11)","0.81 (0.48, 1.36)"
HLA-B*40:01(iii_CHS),"0.80 (0.47, 1.37)","0.43 (0.21, 0.87)","0.77 (0.43, 1.39)","1.86 (1.22, 2.85)","1.32 (0.84, 2.10)"
