PharmGKB ID	Variant	Literature	Genes	Association	Significance	P-Value	# of Cases	# of Controls	Biogeographical Groups	Phenotype Categories	Pediatric	More Details	Molecules
1183684300	CYP2D6 poor metabolizers	PMID:1527229	CYP2D6	CYP2D6 poor metabolizers is associated with increased antidepressant serum levels when treated with amitriptyline, clomipramine, doxepin, imipramine or trimipramine in people with Mental Disorders as compared to CYP2D6 normal metabolizers.	yes	= 0.03	32		Unknown	Metabolism/PK	false	Patients were phenotyped with debrisoquine.	amitriptyline; clomipramine; doxepin; imipramine; trimipramine
1183684364	CYP2C19 poor metabolizers	PMID:7965806	CYP2C19	CYP2C19 poor metabolizers is associated with decreased clearance of imipramine in healthy individuals as compared to CYP2C19 normal metabolizers.	yes	< 0.01	16		East Asian	Metabolism/PK	false	Single dose of imipramine. Subjects were phenotyped with metoprolol (CYP2D6) and S-mephenytoin (CYP2C19).	imipramine
1446902332	CYP2C19 poor metabolizers	PMID:8835703	CYP2C19	CYP2C19 poor metabolizers are associated with increased concentrations of imipramine in people with Depressive Disorder, Major as compared to CYP2C19 normal metabolizers.	yes	< 0.01	28		East Asian	Metabolism/PK	false	Patients were phenotyped simultaneously with mephenytoin (for CYP2C19-related status) and with metoprolol (for CYP2D6-related status) before initiating the antidepressant therapy. 5 CYP2C19 PM were identified and no CYP2D6 PMs. Dose of imipramine PM 44 +-8.2 and EM 50+-18 given on twice daily basis. No co-medication.	imipramine
1446902590	CYP2C19 poor metabolizers	PMID:8835703	CYP2C19	CYP2C19 poor metabolizers are associated with decreased metabolism of imipramine in people with Depressive Disorder, Major as compared to CYP2C19 normal metabolizers.	yes	< 0.01	28		East Asian	Metabolism/PK	false	Patients were phenotyped simultaneously with mephenytoin (for CYP2C19-related status) and with metoprolol (for CYP2D6-related status) before initiating the antidepressant therapy. 5 CYP2C19 PM were identified and no CYP2D6 PMs. Mean N-demethylation ratio (MR of desipramine/imipramine) was significantly (p < 0.01) less in the 2C19 PMs than in the EMs. The index correlated with the 4'-hydroxylation of S-mephenytoin (rs = -0.51, p < 0.01), but not with the alpha-hydroxylation of metoprolol. Dose of imipramine PM 44 +-8.2 and EM 50+-18 given on twice daily basis. No co-medication.	imipramine
1446902201	CYP2D6*1; CYP2D6*1xN; CYP2D6*2; CYP2D6*2xN	PMID:17667959	CYP2D6	CYP2D6 *1/*1xN + *1/*2xN (assigned as ultra-metabolizer phenotype phenotype) are associated with increased dose of imipramine in people with Depressive Disorder, Major as compared to CYP2D6 *1/*1 + *1/*2.	yes	< 0.0001	181		European	Dosage	false	The calculated drug dose requirement (based on imipramine plasma concentrations) was 156% (SGD > 2, subjects carrying a gene duplication of functional allele), as compared to subjects with SGD= 2 (100%) (two functional alleles). *1 (37%) and *2 (22%) were identified but no diplotypes reported in the study, therefore UMs could have other or additional dipoltypes than *1/*1xN or *1/*2xN and EMs than *1/*1 or *1/*2. Mean dose administered for SGD >2 (n=11) 309 +- 107 mg/day, calculated dose with the requirement to achieve 250microg/l of imiramine+ desipramine steady state plasma concentration 509 +-292 mg/day. p-value reflects the association of number of functional alleles with dose, with PM requiring lowest dose and UM the highest. Patients receiving CYP inhibiting co-medication were not included.	imipramine
1183617418	CYP2D6*1; CYP2D6*4	PMCID:PMC2291379	CYP2D6	CYP2D6 *4/*4 is associated with increased risk of Side Effects when treated with amitriptyline, clomipramine, doxepin, imipramine, maprotiline, nortriptyline or Opipramol in people with Depression as compared to CYP2D6 *1/*1.	yes	= 0.01	807		European	Toxicity	false	(*4*4 vs. *1*1; this SNP was the only SNP assayed and this method could not detect *5.)  Tricyclic antidepressants were grouped together for this analysis (45.9 % of patients were taking Amitriptyline; 8.2% Maprotiline;6.6% Clomipramine; 2.9% Nortriptyline;2.4% Imipramine;0.7% Dosulepin;0.3% Doxepin;0.2% Opipramol.  Counted as having ADRs if switched to a different antidepressant within the first 45 days.  Heterozygous patients did not have an increased risk of switching.  Genotypes were not in Hardy-Weinberg equilibrium; frequency below is for a larger population that included patients treated with other antidepressants.	amitriptyline; clomipramine; doxepin; imipramine; maprotiline; nortriptyline; opipramol
981476423	rs3892097	PMCID:PMC2291379	CYP2D6	Genotype TT is associated with decreased dose of amitriptyline, clomipramine, doxepin, imipramine, maprotiline, nortriptyline or opipramol in people with Depression as compared to genotype CC.	yes	= 0.03	807		European	Dosage,Efficacy	false	(*4*4 vs. *1*1; this SNP was the only SNP assayed and this method could not detect *5.) Tricyclic antidepressants were grouped together for this analysis (45.9 % of patients were taking Amitriptyline; 8.2% Maprotiline;6.6% Clomipramine; 2.9% Nortriptyline;2.4% Imipramine;0.7% Dosulepin;0.3% Doxepin;0.2% Opipramol.  Mean TCA dose was significantly lower at the 3rd and 4th prescription (difference 0.11 DDD). Genotypes were not in Hardy-Weinberg equilibrium; frequency below is for a larger population that included patients treated with other antidepressants.	amitriptyline; clomipramine; doxepin; imipramine; maprotiline; nortriptyline; opipramol
1446905463	CYP2C19*1; CYP2C19*2; CYP2C19*3	PMID:9316174	CYP2C19	CYP2C19 *2/*2 + *2/*3 are not associated with dose of imipramine in people with Depressive Disorder, Major as compared to CYP2C19 *1/*1.	no		10		East Asian	Dosage	false	Patients received imipramine twice daily at a dose determined by the treating physician. Clinical evaluation was done at day 28. Steady date plasma concentration were determined after 2 weeks. Dose between PM (1.24mg/kg) and EM (1.386 mg/kg) did not differ significantly. No difference in improvement (HAM-D score) or side effect risk (UKU score) was found between PM and EM. No co-medication.	imipramine
1183684359	CYP2D6 poor metabolizers	PMID:7965806	CYP2D6	CYP2D6 poor metabolizers are associated with decreased metabolism of imipramine in healthy individuals as compared to CYP2D6 normal metabolizers.	yes	< 0.01	16		East Asian	Metabolism/PK	false	Association was only significant for CYP2C19 PM vs CYP2C19 and CYP2D6 EM. Single dose of imipramine. Subjects were phenotyped with metoprolol (CYP2D6) and S-mephenytoin (CYP2C19).	imipramine
1183682179	CYP2D6 poor metabolizers	PMID:3769385	CYP2D6	CYP2D6 poor metabolizers is associated with decreased clearance of imipramine in healthy individuals as compared to CYP2D6 normal metabolizers.	not stated	< 0.01	18		European	Metabolism/PK	false	"Subjects were grouped by on their ability to oxidize sparteine into poor and extensive metabolizers. Subjects took single oral doses of 100 mg imipramine or desipramine. 2-OH-imipramine and 2-OH-desipramine were undetectable
in plasma of PM. Clearance of imipramine via demethylation was not significantly different between EM and PM."	imipramine
