polymorphisms,MXL_vs_world,PUR_vs_world,CLM_vs_world,PEL_vs_world
CYP2D6*2,"0.71 (0.49, 0.94)","1.09 (0.90, 1.28)","0.82 (0.64, 1.02)","0.90 (0.71, 1.11)"
CYP2D6*3,"0.00 (0.00, 0.00)","0.85 (0.00, 3.08)","3.08 (0.00, 7.12)","0.00 (0.00, 0.00)"
CYP2D6*4,"1.36 (0.80, 2.06)","1.70 (1.23, 2.32)","1.83 (1.26, 2.48)","0.69 (0.33, 1.10)"
CYP2D6*6,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","2.33 (0.00, 6.94)","0.00 (0.00, 0.00)"
CYP2D6*9,"1.09 (0.00, 3.81)","3.72 (0.73, 8.07)","2.33 (0.00, 5.49)","0.00 (0.00, 0.00)"
CYP2D6*10,"0.62 (0.38, 0.92)","0.75 (0.55, 0.97)","0.79 (0.57, 1.04)","0.29 (0.14, 0.45)"
CYP2D6*14,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2D6*17,"0.00 (0.00, 0.00)","0.16 (0.00, 0.42)","0.18 (0.00, 0.47)","0.19 (0.00, 0.50)"
CYP2D6*41,"0.24 (0.00, 0.65)","1.98 (1.29, 2.79)","1.18 (0.64, 1.86)","0.09 (0.00, 0.29)"
CYP2C19*2,"0.56 (0.33, 0.84)","0.55 (0.37, 0.79)","0.47 (0.29, 0.69)","0.26 (0.11, 0.42)"
CYP2C19*3,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C19*4,"12.71 (0.00, 79.46)","7.69 (0.00, 46.26)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
CYP2C19*17,"0.76 (0.43, 1.17)","1.17 (0.85, 1.53)","0.83 (0.55, 1.17)","0.26 (0.09, 0.46)"
CYP2C9*2,"2.18 (1.13, 3.51)","3.17 (2.17, 4.37)","2.72 (1.75, 4.00)","0.48 (0.11, 0.99)"
